"","sample","id","sign","text"
"1",1,589736,"Aries","   Much funny.  2 points.  As mentioned in the email, no game this week; I have to research a 13th century poem for a final paper.  I enjoy the work, but I'd much rather have swashbuckling adventure in wintery Hillsfar. "
"2",2,589736,"Aries","   Harpers, Harpers, everywhere.  Harpers, Harpers, they really care. Harpers, Harpers, stay in motion.  Harpers, Harpers, healing potions. Harpers, Harpers, pins of green.  Harpers, Harpers, enter the scene. Harpers, Harpers, formed by a bard.  Harpers, Harpers, .... What?  A Bard?!?!  You got to be fucking kidding me, right?!?!  A Bard?!  Jesus Christ, we're screwed!! "
"3",3,589736,"Aries","   In an earlier post, Johnathan said:   'And then: What of Gregory? Does he feel a pull to move beyond his comfort zone, or is it a natural evolution for him to remain in the Central Heartlands of Faerun, patrolling the darkness that lurks therein? ........ There is room for everyone, and for every player in the saga, Glory Awaits. But what Glory will that be? The Local Hero? The Regional Hero? The Hero of the Land? The Hero of a World? Or the Hero of the Multiverse?'   To respond to this in a way, I would say that Gregory is really having to make a sort of leap of faith to swallow all of this extraplanar stuff.  He gets it and doesn't get it at the same time.  He can understand the world as being a large and changing place, but seeing Father Castillion in the Ethereal plane...well, freaked him out.  To Gregory, it was basically like talking to a ghost, and that is just creepy.  He understands gods, but for there to be something bigger than gods that can take a whole planet and put it in the middle of a nothingness place, it's just a bit much.  Even though he is actually experiencing it, he is still kind of thinking in the back of his mind, 'Yeah....right....whatever you say man.'  And what glory will he find?  Local Hero?  Multiverse?  He would most likely never expect to rise above something between Hero of the Land and Hero of the World.  Frankly, because he doesn't really see/understand the whole multiverse thing, and even being 'Hero of the World' is kind of pretentious in his eyes.  "
"4",4,589736,"Aries","    I'd post this on the RTG Blog, but I can't post there. Could someone either post or e-mail me the resolution to the Catillian situation? As the original hook of our adventure, I'm kind of curious. Thanks.  # posted by IDIC : 10/23/2003 12:53:31 PM     Castillion  was rescued during the collapse by unnamed friends, and is now alive and well in the Ethereal. The party talked with him in the office of Din Dal Kut, who resides on a splinter plane. It seems that when Thulos took Terranel, the 'local group' of the multiverse was torn away with it, and all exist as a miniature multiverse in the in-between-place.   A side result of this occurence is that, according to Castillion, the dead have nowhere to go, and have been gathering at an unknown city for millenia. Castillion is now dedicated to renewing contact with the gods, if possible. He has recommened that the party join forces with the Harpers, a secret society formed by the last Elven bard at the very end of the Great Retreat.   Upon seeing Calleum and the banner of Heironeous in a magical viewing painting/frame on Din Dal Kut's office wall, Burne leapt to join his mentor, and was last seen in a battle in Rashemen, one of the lands that borders the Far East. The act broke the portal, and the party was unable to follow.   Also, Castillon is Ian's father.   Having reached the end of the original journey, Ian and Gregory are beginning to question if they should continue, or return to Tilverton to tell of Castillion's demise -- which was Castillion's request, as the truth would be too difficult to understand.  Players have the option of sending their character off to do something long-term, and create and play a new character. The world stage has expanded wide enough to accomodate such. Once the false murder rap is resolved, the party may see the Breaking of the original Fellowship -- but the beginning of a much larger, world-spanning epic.   # posted by Harmony : 10/23/2003 02:00:31 PM   "
"5",5,589736,"Aries","   The answer to the first question lies with Master Po; the answer to the second is Sister Jayna, the priestess who took over after Castillion departed. "
"6",6,589736,"Aries","   it seems odd to think of brother ian as having a father.  he seems like the type that just sprouted out of the ground. and if fc really is his father, then why didn't he claim him earlier?  who is his mother?   "
"7",7,589736,"Aries","   since our next game is the weekend of halloween, why don't we all dress up like our characters next session? "
"8",8,589736,"Aries","   - Hillsfar, ruled by Lord Malthiir, believed by the party to be a former gang/crime lord, who came to power by unknown means.  - The Red Plumes, an army of mercenaries recently added to a pre-existing smaller force; news its victory over the most recent orc attack (of which there have been three so far in the region) is spreading, attracting more enlistees.  - The local Thieves' Guild, a member of which helped acquire the antidote for Ian and Rhanellus  - The Hand, a mysterious order of deadly monks and assassins  - K'Sh'Aal, a powerful unidentified figure who apparently pulls many strings; according to Luc, the name is reminiscent of those used by dragons - The Zhentarim, an order of sorcerers who actively seek power; rumor suggests that they are on the verge of an internal struggle  - The Harpers, a centuries-old secret society that seeks a way to restore Faerun  - Jalal, the Elven-designated watcher/keeper of Cormanthor  - Garovia, a recently-awakened corrupted Druid, whereabouts unknown  - Orcs, thousands of which live north of the Moonsea; the attack on Hillsfar is the third such action in the past year  - The Citadel of the Raven, a tower complex where resides Lividia, who has been linked to Rhanellus, the sacking of Shadowdale, keech (an addictive plant), the recent orc invasion, possible agents within the Red Plumes, and the foreign goblin machinists  - Lizard Folk, of which nothing is known except they attacked the party during the interrogation of a keech-addicted Red Plume guard   Plus various individual contacts the party has met or heard of.  "
"9",9,589736,"Aries","   It's okay, rock lobster.  All is well.  If email is iffy, we can always use this handy blog.  I will make an effort to deliver announcements both here and by email. "
"10",10,589736,"Aries","   perhaps we can have it that if an email is sent out that a confirmation email can be sent back.  i don't know why it didn't go through or why no one received it.  the only way ben knew what he did is because i spoke to him on thursday.   i'm going to stop using the netscape account though - if everyone could change my email to madduxmir@yahoo.com, i would appreciate it. sorry again  "
"11",11,589736,"Aries","   Mir -- Ben said something about 50/50.  Regardless, we missed you; hope your day was a good one.  Father Castillion has been found, and the end of the battle of Hillsfar was remembered, in which everyone earned an average of 2,000 xp, and a few leveled.  Also, Scott got some much needed rest. "
"12",12,589736,"Aries","   I don't know how long RTG will last. I don't see a reason to end it, as I am presently committed to gaming as a regular activity in my life. Players may come and go, but I will be writing and running some sort of game as long as people want to participate in such.  # posted by Harmony : 10/15/2003 03:31:00 PM   so does that mean rtg will last until 2005?  # posted by hotcocoa : 10/15/2003 02:56:13 PM   At my current pace, I will graduate in either Dec '05 or May '06. Sure takes a long time to earn 48 credits.  # posted by Harmony : 10/15/2003 11:46:41 AM   "
"13",13,589736,"Aries","   and as far as characters go, i like luc - i want to see where her story goes - i've committed over 2 years to seeing how she would develop and i want to see the ending.  i feel like i owe it to her.   "
"14",14,589736,"Aries","   and i don't even believe that duellacathata is actually dead.  i can't believe that powerful of a magic user wouldn't have a backup plan in case her body was destroyed. "
